,호선명,지하철역,무임승차율,무임하차율
267,8호선,강동구청,0.21873302621504706,0.21429717801838252
268,8호선,남위례,0.16597701009870822,0.16110977213220048
269,8호선,남한산성입구(성남법원.검찰청),0.193294392411313,0.20327662473735372
270,8호선,단대오거리,0.2240301061339245,0.2267678460226281
271,8호선,모란,0.3879580205419029,0.3663498709997484
272,8호선,몽촌토성(평화의문),0.17951651985946135,0.17237044545270266
273,8호선,문정,0.10548325906208426,0.09999046915693756
274,8호선,복정,0.14454772502344557,0.15366312748094726
275,8호선,산성,0.2034117783954327,0.22199148001079153
276,8호선,석촌,0.22480403163800244,0.20430091712758489
277,8호선,송파,0.23701115484348803,0.24086522493107165
278,8호선,수진,0.28661025471312523,0.3076428879021557
279,8호선,신흥,0.28179891698414916,0.27581639399347563
280,8호선,암사,0.19284743177729027,0.21514278717178145
281,8호선,잠실(송파구청),0.15948135957075824,0.13290389350238738
282,8호선,장지,0.16034784837944238,0.1598670707411066
283,8호선,천호(풍납토성),0.1922032632024899,0.15987786779456067
