,역명,호선,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시이후,붐비는 시간대
123,개화산,5호선,179.27,491.74,1248.07,1535.66,684.5,456.08,450.53,499.26,464.48,447.95,514.48,643.2,843.3,1231.39,838.04,464.28,419.92,377.65,201.15,72.23,08-09시간대
124,거여,5호선,270.53,841.07,2540.19,2618.77,1247.02,778.88,697.32,749.25,816.87,759.28,872.85,1278.6,1488.87,2163.33,1671.41,860.07,721.62,746.08,376.69,115.24,08-09시간대
125,고덕,5호선,228.96,730.65,2012.28,1838.31,1157.66,980.25,953.76,969.44,1070.97,1022.1,1172.67,1464.8,1532.13,1866.29,1439.42,771.42,747.25,751.33,321.12,121.51,07-08시간대
126,공덕,5호선,101.71,499.02,2256.15,5027.59,2365.3,1098.31,1067.4,1059.35,1150.37,1070.22,1174.86,1513.37,2781.54,4874.24,1940.69,1263.0,1277.47,1077.13,522.94,119.49,08-09시간대
127,광나루(장신대),5호선,264.77,956.16,2393.39,3376.75,1790.24,1241.52,1102.57,1158.32,1199.84,1167.21,1312.6,1635.93,2021.37,2919.25,1717.8,1070.21,1085.71,966.11,474.3,114.0,08-09시간대
128,광화문(세종문화회관),5호선,87.67,1216.23,3744.65,12361.29,5562.56,2481.58,2513.68,2281.37,2694.02,2609.32,2812.12,3397.31,5870.45,11018.94,3806.32,2561.11,2749.59,1941.38,737.1,139.08,08-09시간대
129,군자(능동),5호선,293.89,657.41,1792.58,3125.13,1511.76,869.93,806.88,874.6,920.88,909.46,1020.85,1295.91,1970.88,3280.29,1964.57,1186.99,1107.95,1032.6,632.29,274.57,18-19시간대
130,굽은다리(강동구민회관앞),5호선,292.73,677.17,1824.3,2186.87,1206.29,824.48,802.47,839.29,847.24,838.88,896.71,1132.67,1343.55,1999.75,1422.52,881.0,734.27,722.96,350.5,114.24,08-09시간대
131,길동,5호선,204.18,507.42,1249.82,1882.56,1088.46,768.08,770.37,830.71,835.8,837.05,934.92,1143.58,1302.62,1759.54,1134.88,693.94,572.06,499.61,274.09,97.51,08-09시간대
132,김포공항,5호선,105.38,419.83,816.81,1037.88,710.05,760.73,884.81,909.09,965.06,989.33,1046.79,1097.56,1356.01,1560.12,927.43,626.56,534.06,457.48,141.81,32.13,18-19시간대
133,까치산,5호선,991.97,2092.69,5928.41,7569.63,3651.61,2142.26,1965.71,2109.9,2089.76,2029.79,2451.5,2956.51,3717.1,6226.17,4668.04,2805.09,2533.46,2144.56,1292.59,392.65,08-09시간대
134,답십리,5호선,388.5,1061.48,3175.0,4971.92,2216.62,1290.84,1170.38,1243.21,1296.78,1227.46,1415.42,1725.67,2527.71,4007.42,2231.19,1365.79,1179.37,1013.94,545.07,173.72,08-09시간대
135,동대문역사문화공원(DDP),5호선,18.12,133.87,474.49,1495.8,625.04,252.54,215.7,200.04,216.37,240.89,249.25,323.43,617.02,1100.12,425.03,231.11,209.19,159.12,85.34,24.39,08-09시간대
136,둔촌동,5호선,177.73,681.73,1494.9,1990.94,1020.71,729.72,689.79,717.33,759.47,750.19,882.59,1139.15,1473.7,2041.8,1267.48,656.06,641.59,534.27,273.66,76.16,18-19시간대
137,마곡,5호선,188.65,635.4,1741.91,3330.13,1878.02,931.47,771.79,787.55,863.98,877.26,1013.56,1306.34,1936.93,2917.12,1573.55,900.75,772.75,657.97,304.59,106.51,08-09시간대
138,마장,5호선,111.98,382.57,954.92,1566.73,832.44,564.54,520.23,591.47,552.92,519.57,580.21,693.58,860.44,1231.02,745.36,469.35,429.13,377.0,193.56,63.51,08-09시간대
139,마천,5호선,292.34,699.87,2009.83,1842.65,863.1,565.34,509.63,559.71,557.72,499.32,661.47,836.48,984.25,1467.69,1174.39,583.26,565.48,523.06,295.84,115.65,07-08시간대
140,마포,5호선,133.53,632.63,2113.59,4815.12,2186.99,1160.84,1155.44,1102.56,1189.06,1119.66,1246.04,1506.22,2592.49,4530.42,1919.71,1283.38,1315.59,1051.85,539.73,119.47,08-09시간대
141,명일,5호선,238.4,730.24,1862.08,1883.67,1066.25,808.52,763.57,748.41,798.19,780.79,878.41,1171.08,1217.85,2007.65,1499.08,805.36,686.93,681.6,356.15,110.6,18-19시간대
