,호선,역명,고유역번호(외부역코드),요일,승하차구분,06시이전,06-07시간대,07-08시간대,08-09시간대,09-10시간대,10-11시간대,11-12시간대,12-13시간대,13-14시간대,14-15시간대,15-16시간대,16-17시간대,17-18시간대,18-19시간대,19-20시간대,20-21시간대,21-22시간대,22-23시간대,23-24시간대,24시이후,총 이용인원,위도,경도,location
71,1호선,시청,151,2.0,하차,9524.0,46395.0,148055.0,447931.0,193828.0,81026.0,71028.0,62197.0,61737.0,49051.0,42039.0,38295.0,44314.0,48769.0,21755.0,12331.0,11732.0,8879.0,5808.0,1435.0,1406129.0,37.56359,126.975407,"(37.56359, 126.975407)"
72,1호선,시청,151,3.0,승차,4400.0,6549.0,14594.0,18049.0,21019.0,25326.0,36822.0,38615.0,49626.0,61718.0,83449.0,98382.0,176258.0,341321.0,119016.0,104912.0,107046.0,69222.0,23571.0,1547.0,1401442.0,37.56359,126.975407,"(37.56359, 126.975407)"
73,1호선,시청,151,3.0,승하차 차이,-5474.0,-40531.0,-139932.0,-428527.0,-179750.0,-53074.0,-32894.0,-21256.0,-9755.0,14501.0,40570.0,58223.0,128399.0,291771.0,96480.0,91269.0,94200.0,59772.0,17325.0,-334.0,-19017.0,37.56359,126.975407,"(37.56359, 126.975407)"
74,1호선,시청,151,3.0,하차,9874.0,47080.0,154526.0,446576.0,200769.0,78400.0,69716.0,59871.0,59381.0,47217.0,42879.0,40159.0,47859.0,49550.0,22536.0,13643.0,12846.0,9450.0,6246.0,1881.0,1420459.0,37.56359,126.975407,"(37.56359, 126.975407)"
75,1호선,시청,151,4.0,승차,4068.0,6620.0,14272.0,18026.0,21643.0,26862.0,40261.0,44746.0,54631.0,69924.0,89418.0,110010.0,184262.0,342035.0,109112.0,86432.0,86792.0,62860.0,23496.0,1178.0,1396648.0,37.56359,126.975407,"(37.56359, 126.975407)"
76,1호선,시청,151,4.0,승하차 차이,-5288.0,-38017.0,-130277.0,-413085.0,-166807.0,-50931.0,-28244.0,-16442.0,-7933.0,19228.0,42745.0,63744.0,129702.0,283265.0,79918.0,71215.0,72826.0,51461.0,15441.0,-1117.0,-28596.0,37.56359,126.975407,"(37.56359, 126.975407)"
77,1호선,시청,151,4.0,하차,9356.0,44637.0,144549.0,431111.0,188450.0,77793.0,68505.0,61188.0,62564.0,50696.0,46673.0,46266.0,54560.0,58770.0,29194.0,15217.0,13966.0,11399.0,8055.0,2295.0,1425244.0,37.56359,126.975407,"(37.56359, 126.975407)"
78,1호선,시청,151,5.0,승차,3697.0,5121.0,8590.0,12220.0,15695.0,19185.0,28000.0,35639.0,46826.0,65960.0,91103.0,110321.0,106808.0,106373.0,87257.0,79419.0,58460.0,39328.0,12790.0,1751.0,934543.0,37.56359,126.975407,"(37.56359, 126.975407)"
79,1호선,시청,151,5.0,승하차 차이,-1160.0,-26557.0,-17110.0,-32213.0,-41890.0,-46690.0,-62641.0,-62148.0,-52375.0,-25996.0,6750.0,20594.0,32276.0,64383.0,64926.0,63643.0,44333.0,28681.0,4981.0,201.0,-38012.0,37.56359,126.975407,"(37.56359, 126.975407)"
80,1호선,시청,151,5.0,하차,4857.0,31678.0,25700.0,44433.0,57585.0,65875.0,90641.0,97787.0,99201.0,91956.0,84353.0,89727.0,74532.0,41990.0,22331.0,15776.0,14127.0,10647.0,7809.0,1550.0,972555.0,37.56359,126.975407,"(37.56359, 126.975407)"
81,1호선,시청,151,6.0,승차,2839.0,4314.0,6404.0,9711.0,14287.0,17418.0,25118.0,30447.0,34930.0,44268.0,54310.0,61105.0,61300.0,57146.0,44625.0,43842.0,33739.0,21171.0,6675.0,92.0,573741.0,37.56359,126.975407,"(37.56359, 126.975407)"
82,1호선,시청,151,6.0,승하차 차이,-433.0,-15270.0,-14010.0,-24339.0,-28376.0,-29271.0,-31974.0,-25947.0,-19783.0,-2352.0,14999.0,28208.0,32879.0,36483.0,30711.0,32029.0,22745.0,13882.0,1798.0,-736.0,21243.0,37.56359,126.975407,"(37.56359, 126.975407)"
83,1호선,시청,151,6.0,하차,3272.0,19584.0,20414.0,34050.0,42663.0,46689.0,57092.0,56394.0,54713.0,46620.0,39311.0,32897.0,28421.0,20663.0,13914.0,11813.0,10994.0,7289.0,4877.0,828.0,552498.0,37.56359,126.975407,"(37.56359, 126.975407)"
84,1호선,신설동,156,0.0,승차,16851.0,16956.0,40361.0,58344.0,33906.0,27634.0,31810.0,32848.0,35238.0,34831.0,38463.0,50659.0,69470.0,102649.0,39103.0,26164.0,22072.0,14928.0,5600.0,763.0,698650.0,37.576117,127.02471,"(37.576117, 127.02471)"
